NO,COLLECTOR,DATE,DAY,WEEK,TIME_SLOT,LOCATION,TYPE,Cl2,PH,KH,GH,NO2,NO3
1,Rendy,2018-03-24,sat,END,1,braga,Air Sungai,20,10,20,28,25,50
2,Rendy,2018-03-24,sat,END,1,braga,Air Sumur,20,10,20,28,25,500
3,Rendy,2018-03-25,sun,END,1,braga,Air Sungai,20,10,20,28,25,100
4,Rendy,2018-03-25,sun,END,1,braga,Air Sumur,20,10,20,28,25,250
5,Rendy,2018-03-31,sat,END,1,braga,Air Sungai ,20,10,20,14,10,50
6,Rendy,2018-03-31,sat,END,1,braga,Air Sumur,20,10,15,7,10,100
7,Rendy,2018-04-04,wed,DAY,1,braga,Air Sungai ,20,8,10,14,10,500
8,Rendy,2018-04-04,wed,DAY,1,braga,Air Sumur,20,8,20,28,25,50
9,Rendy,2018-04-07,sat,END,1,braga,Air Sungai,20,8,20,28,25,100
10,Rendy,2018-04-07,sat,END,1,braga,Air Sumur,20,10,10,14,10,50
11,Rendy,2018-04-11,wed,DAY,1,braga,Air Sungai,20,10,6,7,25,250
12,Rendy,2018-04-11,wed,DAY,1,braga,Air Sumur,20,10,20,28,25,250
13,Rendy,2018-04-18,wed,DAY,1,braga,Air Sungai,20,10,20,28,25,50
14,Rendy,2018-04-18,wed,DAY,1,braga,Air Sumur,20,10,20,28,25,500
15,Rendy,2018-04-21,sat,END,1,braga,Air Sungai,20,10,20,28,25,100
16,Rendy,2018-04-21,sat,END,1,braga,Air Sumur,20,10,20,28,25,250
17,Rendy,2018-04-28,sat,END,1,braga,Air Sungai,20,10,20,14,10,50
18,Rendy,2018-04-28,sat,END,1,braga,Air Sumur,20,10,15,7,10,100
19,Rendy,2018-04-29,sun,END,1,braga,Air Sungai,20,8,10,14,10,500
20,Rendy,2018-04-29,sun,END,1,braga,Air Sumur,20,8,20,28,25,50
21,Rendy,2018-05-02,wed,DAY,1,braga,Air Sungai,20,8,20,28,25,100
22,Rendy,2018-05-02,wed,DAY,1,braga,Air Sumur,20,10,10,14,10,50
23,Rendy,2018-05-08,tue,DAY,1,braga,Air Sungai,20,10,6,7,25,250
24,Rendy,2018-05-08,tue,DAY,1,braga,Air Sumur,20,10,20,28,25,250
25,Rendy,2018-05-09,wed,DAY,1,braga,Air Sungai,20,10,20,28,25,100
26,Rendy,2018-05-09,wed,DAY,1,braga,Air Sumur,20,10,6,7,25,250
27,Rendy,2018-05-12,sat,END,1,braga,Air Sungai,20,10,20,28,25,50
28,Rendy,2018-05-12,sat,END,1,braga,Air Sumur,20,10,20,28,25,500
29,Rendy,2018-06-05,sat,END,1,braga,Air Sungai,20,10,20,28,25,100
30,Rendy,2018-06-05,sat,END,1,braga,Air Sumur,20,10,20,28,25,250
31,Rendy,2018-06-08,tue,DAY,1,braga,Air Sungai,20,10,20,14,10,50
32,Rendy,2018-06-08,tue,DAY,1,braga,Air Sumur,20,10,15,7,10,100
33,Rendy,2018-06-09,wed,DAY,1,braga,Air Sumur,20,8,10,14,10,500
34,Rendy,2018-06-12,sat,END,1,braga,Air Sumur,20,8,20,28,25,50
35,Rendy,2018-06-13,sun,END,1,braga,Air Sumur,20,8,20,28,25,100
36,Rendy,2018-06-15,tue,DAY,1,braga,Air Sumur,20,10,10,14,10,50
37,Rendy,2018-06-16,wed,DAY,1,braga,Air Sumur,20,10,6,7,25,250
38,Rendy,2018-06-19,sat,END,1,braga,Air Sumur,20,10,20,28,25,250
39,Rendy,2018-06-20,sun,END,1,braga,Air Sumur,20,10,20,28,25,100
40,Rendy,2018-06-22,tue,DAY,1,braga,Air Sumur,20,10,6,7,25,250
41,Rendy,2018-06-23,wed,DAY,1,braga,Air Sumur,20,10,6,7,10,50
42,Rendy,2018-06-26,sat,END,1,braga,Air Sumur,20,10,20,28,25,250
43,Rendy,2018-06-27,sun,END,1,braga,Air Sumur,20,10,20,28,25,100
44,Rendy,2018-06-29,tue,DAY,1,braga,Air Sumur,20,10,20,28,25,50
45,Rendy,2018-06-30,wed,DAY,1,braga,Air Sumur,20,10,20,28,25,500
46,Rendy,2018-07-03,sat,END,2,braga,Air Sumur,20,10,20,28,25,100
47,Rendy,2018-07-04,sun,END,2,braga,Air Sumur,20,10,20,28,25,250
48,Rendy,2018-07-06,tue,DAY,2,braga,Air Sumur,20,10,20,14,10,50
49,Rendy,2018-07-07,wed,DAY,2,braga,Air Sumur,20,10,15,7,10,100
50,Rendy,2018-07-10,sat,END,2,braga,Air Sumur,20,8,10,14,10,500
51,Rendy,2018-07-11,sun,END,2,braga,Air Sumur,20,8,20,28,25,50
52,Rendy,2018-07-13,tue,DAY,2,braga,Air Sumur,20,8,20,28,25,100
53,Rendy,2018-07-14,wed,DAY,2,braga,Air Sumur,20,10,10,14,10,50
54,Rendy,2018-07-17,sat,END,2,braga,Air Sumur,20,10,6,7,25,250
55,Rendy,2018-07-18,sun,END,2,braga,Air Sumur,20,10,20,28,25,250
56,Rendy,2018-07-20,tue,DAY,2,braga,Air Sumur,20,10,20,28,25,100
57,Rendy,2018-07-21,wed,DAY,2,braga,Air Sumur,20,10,6,7,25,250
58,Rendy,2018-07-24,sat,END,2,braga,Air Sumur,20,10,6,7,10,50
59,Rendy,2018-07-25,sun,END,2,braga,Air Sumur,20,10,20,28,25,50
60,Rendy,2018-07-27,tue,DAY,2,braga,Air Sumur,20,10,20,28,25,500
61,Rendy,2018-07-28,wed,DAY,2,braga,Air Sumur,20,10,20,28,25,100
62,Rendy,2018-07-31,sat,END,2,braga,Air Sumur,20,10,20,28,25,250
63,Rendy,2018-08-01,sun,END,2,braga,Air Sumur,20,10,20,14,10,50
64,Rendy,2018-08-03,tue,DAY,2,braga,Air Sumur,20,10,15,7,10,100
65,Rendy,2018-08-04,wed,DAY,2,braga,Air Sumur,20,8,10,14,10,500
66,Rendy,2018-08-07,sat,END,2,braga,Air Sumur,20,8,20,28,25,50
67,Rendy,2018-08-08,sun,END,2,braga,Air Sumur,20,8,20,28,25,100
68,Rendy,2018-08-10,tue,DAY,2,braga,Air Sumur,20,10,10,14,10,50
69,Rendy,2018-08-11,wed,DAY,2,braga,Air Sumur,20,10,6,7,25,250
70,Rendy,2018-08-14,sat,END,2,braga,Air Sumur,20,10,20,28,25,250
71,Rendy,2018-08-15,sun,END,2,braga,Air Sumur,20,10,20,28,25,100
72,Rendy,2018-08-17,tue,DAY,2,braga,Air Sumur,20,10,6,7,25,250
73,Rendy,2018-08-18,wed,DAY,2,braga,Air Sumur,20,10,6,7,10,50
74,Rendy,2018-08-21,sat,END,2,braga,Air Sumur,20,10,20,28,25,250
75,Rendy,2018-08-22,sun,END,2,braga,Air Sumur,20,10,20,28,25,50
76,Rendy,2018-08-24,tue,DAY,2,braga,Air Sumur,20,10,20,28,25,500
77,Rendy,2018-08-25,wed,DAY,2,braga,Air Sumur,20,10,20,28,25,100
78,Rendy,2018-08-28,sat,END,2,braga,Air Sumur,20,10,20,28,25,250
79,Rendy,2018-08-29,sun,END,2,braga,Air Sumur,20,10,20,14,10,50
80,Rendy,2018-08-31,tue,DAY,2,braga,Air Sumur,20,10,15,7,10,100
81,Rendy,2018-09-01,wed,DAY,3,braga,Air Sumur,20,8,10,14,10,500
82,Rendy,2018-09-04,sat,END,3,braga,Air Sumur,20,8,20,28,25,50
83,Rendy,2018-09-05,sun,END,3,braga,Air Sumur,20,8,20,28,25,100
84,Rendy,2018-09-07,tue,DAY,3,braga,Air Sumur,20,10,10,14,10,50
85,Rendy,2018-09-08,wed,DAY,3,braga,Air Sumur,20,10,6,7,25,250
86,Rendy,2018-09-11,sat,END,3,braga,Air Sumur,20,10,20,28,25,250
87,Rendy,2018-09-12,sun,END,3,braga,Air Sumur,20,10,20,28,25,100
88,Rendy,2018-09-14,tue,DAY,3,braga,Air Sumur,20,10,6,7,25,250
