NO,COLLECTOR,DATE,DAY,WEEK,TIME_SLOT,LOCATION,TYPE,Cl2,PH,KH,GH,NO2,NO3
1,Iman,2018-03-24,sat,END,1,braga,Air Sungai,20,10,15,14,10,50
2,Iman,2018-03-24,sat,END,1,braga,Air Sumur,20,10,15,14,10,250
3,Iman,2018-03-25,sun,END,1,braga,Air Sungai,20,10,15,14,10,100
4,Iman,2018-03-25,sun,END,1,braga,Air Sumur,20,10,15,14,10,250
5,Iman,2018-03-31,sat,END,1,braga,Air Sungai ,20,10,15,14,10,50
6,Iman,2018-03-31,sat,END,1,braga,Air Sumur,20,10,15,7,10,100
7,Iman,2018-04-04,wed,DAY,1,braga,Air Sungai ,20,7.2,10,14,10,250
8,Iman,2018-04-04,wed,DAY,1,braga,Air Sumur,20,7.6,15,14,10,50
9,Iman,2018-04-07,sat,END,1,braga,Air Sungai,20,7.6,15,14,10,100
10,Iman,2018-04-07,sat,END,1,braga,Air Sumur,20,10,10,14,10,50
11,Iman,2018-04-11,wed,DAY,1,braga,Air Sungai,20,10,6,7,25,250
12,Iman,2018-04-11,wed,DAY,1,braga,Air Sumur,20,10,15,14,10,250
13,Iman,2018-04-18,wed,DAY,1,braga,Air Sungai,20,10,15,14,25,50
14,Iman,2018-04-18,wed,DAY,1,braga,Air Sumur,20,10,15,14,25,250
15,Iman,2018-04-21,sat,END,1,braga,Air Sungai,20,10,15,14,10,100
16,Iman,2018-04-21,sat,END,1,braga,Air Sumur,20,10,15,14,10,250
17,Iman,2018-04-28,sat,END,1,braga,Air Sungai,20,10,15,14,10,50
18,Iman,2018-04-28,sat,END,1,braga,Air Sumur,20,10,15,7,10,100
19,Iman,2018-04-29,sun,END,1,braga,Air Sungai,20,7.2,10,14,10,250
20,Iman,2018-04-29,sun,END,1,braga,Air Sumur,20,7.2,15,14,10,50
21,Iman,2018-05-02,wed,DAY,1,braga,Air Sungai,20,7.2,15,14,10,100
22,Iman,2018-05-02,wed,DAY,1,braga,Air Sumur,20,10,10,14,10,50
23,Iman,2018-05-08,tue,DAY,1,braga,Air Sungai,20,10,6,7,25,250
24,Iman,2018-05-08,tue,DAY,1,braga,Air Sumur,20,10,15,14,10,250
25,Iman,2018-05-09,wed,DAY,1,braga,Air Sungai,20,10,15,14,25,100
26,Iman,2018-05-09,wed,DAY,1,braga,Air Sumur,20,10,6,7,25,250
27,Iman,2018-05-12,sat,END,1,braga,Air Sungai,20,10,15,14,25,50
28,Iman,2018-05-12,sat,END,1,braga,Air Sumur,20,10,15,14,25,250
29,Iman,2018-06-05,sat,END,1,braga,Air Sungai,20,10,15,14,25,100
30,Iman,2018-06-05,sat,END,1,braga,Air Sumur,20,10,15,14,25,250
31,Iman,2018-06-08,tue,DAY,1,braga,Air Sungai,20,10,15,14,10,50
32,Iman,2018-06-08,tue,DAY,1,braga,Air Sumur,20,10,15,7,10,100
33,Iman,2018-06-09,wed,DAY,1,braga,Air Sumur,20,7.6,10,14,10,250
34,Iman,2018-06-12,sat,END,1,braga,Air Sumur,20,7.6,15,14,25,50
35,Iman,2018-06-13,sun,END,1,braga,Air Sumur,20,7.2,15,14,10,100
36,Iman,2018-06-15,tue,DAY,1,braga,Air Sumur,20,10,10,14,10,50
37,Iman,2018-06-16,wed,DAY,1,braga,Air Sumur,20,10,6,7,25,250
38,Iman,2018-06-19,sat,END,1,braga,Air Sumur,20,10,15,14,10,250
39,Iman,2018-06-20,sun,END,1,braga,Air Sumur,20,10,10,14,10,100
40,Iman,2018-06-22,tue,DAY,1,braga,Air Sumur,20,10,6,7,25,250
41,Iman,2018-06-23,wed,DAY,1,braga,Air Sumur,20,10,6,7,10,50
42,Iman,2018-06-26,sat,END,1,braga,Air Sumur,20,10,10,14,10,250
43,Iman,2018-06-27,sun,END,1,braga,Air Sumur,20,10,10,14,10,100
44,Iman,2018-06-29,tue,DAY,1,braga,Air Sumur,20,10,10,14,25,50
45,Iman,2018-06-30,wed,DAY,1,braga,Air Sumur,20,10,10,14,25,250
46,Iman,2018-07-03,sat,END,2,braga,Air Sumur,20,10,10,14,25,100
47,Iman,2018-07-04,sun,END,2,braga,Air Sumur,20,10,10,14,25,250
48,Iman,2018-07-06,tue,DAY,2,braga,Air Sumur,20,10,15,14,10,50
49,Iman,2018-07-07,wed,DAY,2,braga,Air Sumur,20,10,15,7,10,100
50,Iman,2018-07-10,sat,END,2,braga,Air Sumur,20,7.2,10,14,10,250
51,Iman,2018-07-11,sun,END,2,braga,Air Sumur,20,7.6,15,14,10,50
52,Iman,2018-07-13,tue,DAY,2,braga,Air Sumur,20,7.6,15,14,10,100
53,Iman,2018-07-14,wed,DAY,2,braga,Air Sumur,20,10,10,14,10,50
54,Iman,2018-07-17,sat,END,2,braga,Air Sumur,20,10,6,7,25,250
55,Iman,2018-07-18,sun,END,2,braga,Air Sumur,20,10,10,14,10,250
56,Iman,2018-07-20,tue,DAY,2,braga,Air Sumur,20,10,10,14,10,100
57,Iman,2018-07-21,wed,DAY,2,braga,Air Sumur,20,10,6,7,25,250
58,Iman,2018-07-24,sat,END,2,braga,Air Sumur,20,10,6,7,10,50
59,Iman,2018-07-25,sun,END,2,braga,Air Sumur,20,10,10,14,10,50
60,Iman,2018-07-27,tue,DAY,2,braga,Air Sumur,20,10,10,14,10,250
61,Iman,2018-07-28,wed,DAY,2,braga,Air Sumur,20,10,10,14,10,100
62,Iman,2018-07-31,sat,END,2,braga,Air Sumur,20,10,10,14,10,250
63,Iman,2018-08-01,sun,END,2,braga,Air Sumur,20,10,10,14,10,50
64,Iman,2018-08-03,tue,DAY,2,braga,Air Sumur,20,10,15,7,10,100
65,Iman,2018-08-04,wed,DAY,2,braga,Air Sumur,20,7.2,10,14,10,250
66,Iman,2018-08-07,sat,END,2,braga,Air Sumur,20,7.2,10,14,10,50
67,Iman,2018-08-08,sun,END,2,braga,Air Sumur,20,7.2,10,14,10,100
68,Iman,2018-08-10,tue,DAY,2,braga,Air Sumur,20,10,10,14,10,50
69,Iman,2018-08-11,wed,DAY,2,braga,Air Sumur,20,10,6,7,25,250
70,Iman,2018-08-14,sat,END,2,braga,Air Sumur,20,10,10,14,25,250
71,Iman,2018-08-15,sun,END,2,braga,Air Sumur,20,10,15,14,10,100
72,Iman,2018-08-17,tue,DAY,2,braga,Air Sumur,20,10,6,7,25,250
73,Iman,2018-08-18,wed,DAY,2,braga,Air Sumur,20,10,6,7,10,50
74,Iman,2018-08-21,sat,END,2,braga,Air Sumur,20,10,15,14,10,250
75,Iman,2018-08-22,sun,END,2,braga,Air Sumur,20,10,15,14,10,50
76,Iman,2018-08-24,tue,DAY,2,braga,Air Sumur,20,10,15,14,10,250
77,Iman,2018-08-25,wed,DAY,2,braga,Air Sumur,20,10,15,14,10,100
78,Iman,2018-08-28,sat,END,2,braga,Air Sumur,20,10,10,14,25,250
79,Iman,2018-08-29,sun,END,2,braga,Air Sumur,20,10,10,14,10,50
80,Iman,2018-08-31,tue,DAY,2,braga,Air Sumur,20,10,10,7,10,100
