NO,COLLECTOR,DATE,DAY,WEEK,TIME_SLOT,LOCATION,TYPE,Cl2,PH,KH,GH,NO2,NO3
1,Niki,2018-03-24,sat,END,1,dago_atas,Air Sungai,10,7.2,10,7,5,25
2,Niki,2018-03-24,sat,END,1,dago_atas,Air Sumur,3,8,6,7,5,25
3,Niki,2018-03-25,sun,END,1,dago_atas,Air Sungai,10,7.2,10,7,5,25
4,Niki,2018-03-25,sun,END,1,dago_atas,Air Sumur,3,8,6,7,5,25
5,Niki,2018-03-31,sat,END,1,dago_atas,Air Sungai ,10,8,10,7,5,25
6,Niki,2018-03-31,sat,END,1,dago_atas,Air Sumur,3,8,6,7,5,25
7,Niki,2018-04-04,wed,DAY,1,dago_atas,Air Sungai ,0,6.4,10,6,1,10
8,Niki,2018-04-04,wed,DAY,1,dago_atas,Air Sumur,0,7.4,3,3,1,10
9,Niki,2018-04-07,sat,END,1,dago_atas,Air Sungai,10,6.8,10,7,5,25
10,Niki,2018-04-07,sat,END,1,dago_atas,Air Sumur,3,6.8,3,7,5,25
11,Niki,2018-04-11,wed,DAY,1,dago_atas,Air Sungai,0,8,15,6,1,10
12,Niki,2018-04-11,wed,DAY,1,dago_atas,Air Sumur,0,7.4,3,3,0.5,0
13,Niki,2018-04-18,wed,DAY,1,dago_atas,Air Sungai,0,7.2,10,6,0,0
14,Niki,2018-04-18,wed,DAY,1,dago_atas,Air Sumur,0,7.2,3,3,1,10
15,Niki,2018-04-21,sat,END,1,dago_atas,Air Sungai,10,6.4,6,7,5,25
16,Niki,2018-04-21,sat,END,1,dago_atas,Air Sumur,3,6.8,3,7,5,25
17,Niki,2018-04-28,sat,END,1,dago_atas,Air Sungai,10,6.8,6,7,5,25
18,Niki,2018-04-28,sat,END,1,dago_atas,Air Sumur,3,6.8,3,7,5,10
19,Niki,2018-04-29,sun,END,1,dago_atas,Air Sungai,10,6.4,6,7,5,25
20,Niki,2018-04-29,sun,END,1,dago_atas,Air Sumur,3,6.8,6,7,5,25
21,Niki,2018-05-02,wed,DAY,1,dago_atas,Air Sungai,0.8,6.8,6,6,0,0
22,Niki,2018-05-02,wed,DAY,1,dago_atas,Air Sumur,40,7.2,3,3,1,10
23,Niki,2018-05-08,tue,DAY,1,dago_atas,Air Sungai,0,6.8,6,6,0,0
24,Niki,2018-05-08,tue,DAY,1,dago_atas,Air Sumur,0,6.8,3,3,0.5,0
25,Niki,2018-05-09,wed,DAY,1,dago_atas,Air Sungai,0,6.8,6,6,0,25
26,Niki,2018-05-09,wed,DAY,1,dago_atas,Air Sumur,0,7.4,3,3,0.5,10
27,Niki,2018-05-12,sat,END,1,dago_atas,Air Sungai,10,7.2,6,7,5,25
28,Niki,2018-05-12,sat,END,1,dago_atas,Air Sumur,5,7.6,6,14,5,25
29,Niki,2018-06-05,sat,END,1,dago_atas,Air Sungai,10,6.8,6,7,5,25
30,Niki,2018-06-05,sat,END,1,dago_atas,Air Sumur,5,7.2,6,7,5,10
31,Niki,2018-06-08,tue,DAY,1,dago_atas,Air Sungai,0,7.2,10,6,0,10
32,Niki,2018-06-08,tue,DAY,1,dago_atas,Air Sumur,0,7.6,3,3,0.5,10
33,Niki,2018-06-09,wed,DAY,1,dago_atas,Air Sumur,0,7.6,3,3,0.5,10
34,Niki,2018-06-12,sat,END,1,dago_atas,Air Sumur,5,7.6,6,7,5,10
35,Niki,2018-06-13,sun,END,1,dago_atas,Air Sumur,5,6.8,3,7,5,10
36,Niki,2018-06-15,tue,DAY,1,dago_atas,Air Sumur,0,7.6,3,3,0.5,10
37,Niki,2018-06-16,wed,DAY,1,dago_atas,Air Sumur,40,7.2,3,3,1,10
38,Niki,2018-06-19,sat,END,1,dago_atas,Air Sumur,5,6.4,3,7,5,10
39,Niki,2018-06-20,sun,END,1,dago_atas,Air Sumur,5,6.8,6,14,5,25
40,Niki,2018-06-22,tue,DAY,1,dago_atas,Air Sumur,0,7.6,3,3,0.5,10
41,Niki,2018-06-23,wed,DAY,1,dago_atas,Air Sumur,0,7.4,3,3,1,10
42,Niki,2018-06-26,sat,END,1,dago_atas,Air Sumur,5,6.8,6,14,5,25
43,Niki,2018-06-27,sun,END,1,dago_atas,Air Sumur,5,6.8,3,7,5,25
