NO,COLLECTOR,DATE,DAY,WEEK,TIME_SLOT,LOCATION,TYPE,Cl2,PH,KH,GH,NO2,NO3
1,Ichsan,2018-03-24,sat,END,1,telkom,Air Sungai,20,8,20,28,25,250
2,Ichsan,2018-03-24,sat,END,1,telkom,Air Sumur,20,8,20,28,25,50
3,Ichsan,2018-03-25,sun,END,1,telkom,Air Sungai,20,8,15,28,25,250
4,Ichsan,2018-03-25,sun,END,1,telkom,Air Sumur,20,8,20,28,25,100
5,Ichsan,2018-03-31,sat,END,1,telkom,Air Sungai ,20,8,20,28,25,100
6,Ichsan,2018-03-31,sat,END,1,telkom,Air Sumur,20,8,20,28,25,100
7,Ichsan,2018-04-02,mon,DAY,6:10:00 AM,cihampelas,Air Sungai ,20,8,20,12,10,100
8,Ichsan,2018-04-02,mon,DAY,6:10:00 AM,cihampelas,Air Sumur,20,8,20,12,10,100
7,Ichsan,2018-04-04,wed,DAY,1,telkom,Air Sungai ,20,8,15,14,10,50
8,Ichsan,2018-04-04,wed,DAY,1,telkom,Air Sumur,20,8,15,14,25,500
11,Ichsan,2018-04-06,fri,DAY,5:27:00 PM,cihampelas,Air Sungai,20,8,20,12,10,100
12,Ichsan,2018-04-06,fri,DAY,5:27:00 PM,cihampelas,Air Sumur,20,8,20,14,5,50
9,Ichsan,2018-04-07,sat,END,1,telkom,Air Sungai,20,8,20,28,25,100
10,Ichsan,2018-04-07,sat,END,1,telkom,Air Sumur,20,8,20,28,25,250
11,Ichsan,2018-04-11,wed,DAY,1,telkom,Air Sungai,20,8,10,7,25,50
12,Ichsan,2018-04-11,wed,DAY,1,telkom,Air Sumur,20,8,10,7,10,100
13,Ichsan,2018-04-18,wed,DAY,1,telkom,Air Sungai,20,8,10,7,10,500
14,Ichsan,2018-04-18,wed,DAY,1,telkom,Air Sumur,20,8,10,14,10,50
15,Ichsan,2018-04-21,sat,END,1,telkom,Air Sungai,20,8,20,28,25,100
16,Ichsan,2018-04-21,sat,END,1,telkom,Air Sumur,20,8,20,28,25,100
17,Ichsan,2018-04-28,sat,END,1,telkom,Air Sungai,20,8,20,28,25,250
18,Ichsan,2018-04-28,sat,END,1,telkom,Air Sumur,20,8,20,28,25,250
19,Ichsan,2018-04-29,sun,END,1,telkom,Air Sungai,20,8,20,28,25,100
20,Ichsan,2018-04-29,sun,END,1,telkom,Air Sumur,20,8,20,28,25,100
21,Ichsan,2018-05-02,wed,DAY,1,telkom,Air Sungai,20,8,12,7,10,250
